token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
17625,MOLDTECH-EQ,MOLDTECH,,-1,1,,NSE,5
15555,HCG-EQ,HCG,,-1,1,,NSE,5
1476,IDBI-EQ,IDBI,,-1,1,,NSE,5
14440,NAHARSPING-EQ,NAHARSPING,,-1,1,,NSE,5
3267,SREINFRA-EQ,SREINFRA,,-1,1,,NSE,5
10074,EMAMIPAP-EQ,EMAMIPAP,,-1,1,,NSE,5
21423,M100-EQ,M100,,-1,1,,NSE,1
16827,KOKUYOCMLN-EQ,KOKUYOCMLN,,-1,1,,NSE,5
1153,GLAXO-EQ,GLAXO,,-1,1,,NSE,5
2909,RICOAUTO-EQ,RICOAUTO,,-1,1,,NSE,5
13966,HBLPOWER-EQ,HBLPOWER,,-1,1,,NSE,5
1338,SDBL-EQ,SDBL,,-1,1,,NSE,5
13066,BRFL-EQ,BRFL,,-1,1,,NSE,5
1110,DANGEE-EQ,DANGEE,,-1,1,,NSE,5
2004,AHLADA-EQ,AHLADA,,-1,1,,NSE,5
25088,ASAHISONG-EQ,ASAHISONG,,-1,1,,NSE,5
17357,GKWLIMITED-EQ,GKWLIMITED,,-1,1,,NSE,5
881,DRREDDY-EQ,DRREDDY,,-1,1,,NSE,5
15419,DPSCLTD-EQ,DPSCLTD,,-1,1,,NSE,5
6353,MAN50ETF-EQ,MAN50ETF,,-1,1,,NSE,1
11634,SALSTEEL-EQ,SALSTEEL,,-1,1,,NSE,5
11606,GUFICBIO-EQ,GUFICBIO,,-1,1,,NSE,5
11705,XCHANGING-EQ,XCHANGING,,-1,1,,NSE,5
4838,ICICILIQ-EQ,ICICILIQ,,-1,1,,NSE,1
19585,BSE-EQ,BSE,,-1,1,,NSE,5
14511,BANSWRAS-EQ,BANSWRAS,,-1,1,,NSE,5
40,AEGISCHEM-EQ,AEGISCHEM,,-1,1,,NSE,5
13745,GTLINFRA-EQ,GTLINFRA,,-1,1,,NSE,5
25392,PANAMAPET-EQ,PANAMAPET,,-1,1,,NSE,5
29962,JUSTDIAL-EQ,JUSTDIAL,,-1,1,,NSE,5
20160,CANTABIL-EQ,CANTABIL,,-1,1,,NSE,5
714,SHALBY-EQ,SHALBY,,-1,1,,NSE,5
21113,BFINVEST-EQ,BFINVEST,,-1,1,,NSE,5
11618,ASTRAMICRO-EQ,ASTRAMICRO,,-1,1,,NSE,5
2627,KOTAKIT-EQ,KOTAKIT,,-1,1,,NSE,1
2963,SAIL-EQ,SAIL,,-1,1,,NSE,5
7919,BYKE-EQ,BYKE,,-1,1,,NSE,5
1247,GSFC-EQ,GSFC,,-1,1,,NSE,5
20616,SUPERHOUSE-EQ,SUPERHOUSE,,-1,1,,NSE,5
1720,JAYSREETEA-EQ,JAYSREETEA,,-1,1,,NSE,5
10285,AYMSYNTEX-EQ,AYMSYNTEX,,-1,1,,NSE,5
5475,GRSE-EQ,GRSE,,-1,1,,NSE,5
24532,FILATEX-EQ,FILATEX,,-1,1,,NSE,5
11782,EVEREADY-EQ,EVEREADY,,-1,1,,NSE,5
3327,SUDARSCHEM-EQ,SUDARSCHEM,,-1,1,,NSE,5
9939,ONEPOINT-EQ,ONEPOINT,,-1,1,,NSE,5
3918,NATCOPHARM-EQ,NATCOPHARM,,-1,1,,NSE,5
14828,WSI-EQ,WSI,,-1,1,,NSE,5
8825,PRIVISCL-EQ,PRIVISCL,,-1,1,,NSE,5
19599,PRAKASHSTL-EQ,PRAKASHSTL,,-1,1,,NSE,5
